Tool ID,In SR or is Standalone?,1st Level Code,2nd Level Code,3rd Level Code,4th Level Code,Normalised Criterion,Appraisal (A) or Reporting (R) Mode,"Original, Modified or Existing tool?",Eligibility of Parent Tool?,Web of Science Topic Label 1,Web of Science Topic Label 2,Web of Science Topic Label 3,Web of Science Topic Label 4,Web of Science Topic Label 5
Martin 2015,Systematic review,Test System,Theory,PECO,Outcomes,Measured effect of intervention on a metastasis-specific outcome,R,Modified,Unclear,Pharmacology and pharmacy,,,,
Martin 2015,Systematic review,Test System,Theory,PECO,Outcomes,Measured effect of intervention on cancer survival,R,Modified,Unclear,Pharmacology and pharmacy,,,,
Martin 2015,Systematic review,Test System,Theory,PECO,Outcomes,Tested at least one of the specified list of VGSC inhibitors,R,Modified,Unclear,Pharmacology and pharmacy,,,,
Martins 2018,Systematic review,Test System,Experimental Practice,Controlling for random error,Sample size,Sample size calculation,R,Modified,Eligible,Dentistry,Oral surgery and medicine,,,
Martins 2018,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Blinding,Blinding of text machine operator,A,Modified,Eligible,Dentistry,Oral surgery and medicine,,,
Martins 2018,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Randomisation,Random allocation of subjects to study groups,A,Modified,Eligible,Dentistry,Oral surgery and medicine,,,
Martins 2018,Systematic review,Test System,Experimental Practice,Nonspecific error control,Investigator roles,Implementation of single operator protocol,A,Modified,Eligible,Dentistry,Oral surgery and medicine,,,
Martins 2018,Systematic review,Test System,Experimental Practice,Nonspecific error control,Standardised practices,Standardised specimen preparation,A,Modified,Eligible,Dentistry,Oral surgery and medicine,,,
Martins 2018,Systematic review,Test System,Experimental Practice,Not classified,Not classified,Calculation of degree of conversion,U,Modified,Eligible,Dentistry,Oral surgery and medicine,,,
Martins 2018,Systematic review,Test System,Experimental Practice,Not classified,Not classified,Design of degree of conversion test,U,Modified,Eligible,Dentistry,Oral surgery and medicine,,,
Martins 2018,Systematic review,Test System,Experimental Practice,Not classified,Not classified,Materials used according to manufacturers instructions,A,Modified,Eligible,Dentistry,Oral surgery and medicine,,,
Martins 2018,Systematic review,Test System,Experimental Practice,Not classified,Not classified,Description of resin cement manipulation method,R,Modified,Eligible,Dentistry,Oral surgery and medicine,,,
Masarwa 2016,Systematic review,Analysis,Interpretation,Significance,Not classified,Results support conclusions,A,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Masarwa 2016,Systematic review,Analysis,Results,Complete reporting,Not classified,Detailed reporting of results,A,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Masarwa 2016,Systematic review,Analysis,Results,Statistical methods,Not classified,Post hoc power calculations for non significant results,U,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Masarwa 2016,Systematic review,Analysis,Results,Statistical methods,Not classified,Statistical methods,A,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Masarwa 2016,Systematic review,Analysis,Results,Statistical methods,Not classified,Exact confidence intervals,R,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Masarwa 2016,Systematic review,Analysis,Results,Statistical methods,Not classified,Exact p-values,R,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Masarwa 2016,Systematic review,Analysis,Results,Statistical methods,Not classified,Statistical tests,R,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Masarwa 2016,Systematic review,Objective,Not classified,Not classified,Not classified,Clear objectives,A,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Masarwa 2016,Systematic review,Objective,Not classified,Not classified,Not classified,Clear question,A,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Masarwa 2016,Systematic review,Test System,Experimental Practice,Controlling for random error,Sample size,Sample size,A,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Masarwa 2016,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Allocation concealment,Allocation concealment,R,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Masarwa 2016,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Attrition,Reason for subjects leaving study,R,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Masarwa 2016,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Attrition,Study subject attrition rates,R,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Masarwa 2016,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Blinding,Blinding of participants,R,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Masarwa 2016,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Confounding,Accounting for confounding variables,A,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Masarwa 2016,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Not classified,Outcome measure robust to measurement bias,A,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Masarwa 2016,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Randomisation,Random allocation of subjects to study groups,R,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Masarwa 2016,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Selection,Study subject selection methods,A R,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Masarwa 2016,Systematic review,Test System,Not classified,Not classified,Not classified,Clear methods,A,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Masarwa 2016,Systematic review,Test System,Not classified,Not classified,Not classified,Methods appropriate to study question,A,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Masarwa 2016,Systematic review,Test System,Theory,Fit,External validity,Study subjects appropriate to study question,A,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Masarwa 2016,Systematic review,Test System,Theory,PECO,Controls,Use of control groups,AR,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Masarwa 2016,Systematic review,Test System,Theory,PECO,Outcomes,Outcome measurement methods,A,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Masarwa 2016,Systematic review,Test System,Theory,PECO,Population,Characterisation of study subjects,A,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
McConnell 2014,Standalone,Analysis,Interpretation,Significance,Not classified,Data allowing exposure level in microarray to be related back to phenotype,U,Modified,Eligible,Multidisciplinary sciences,,,,
McConnell 2014,Standalone,Analysis,Results,Data normalisation,Not classified,Pre-processing methods for microarray data,R,Modified,Eligible,Multidisciplinary sciences,,,,
McConnell 2014,Standalone,Analysis,Results,Raw data,Not classified,Raw data discernible from sample annotation for each raw data file,A,Modified,Eligible,Multidisciplinary sciences,,,,
McConnell 2014,Standalone,Analysis,Results,Raw data,Not classified,Availability of normalised microarray data,R,Modified,Eligible,Multidisciplinary sciences,,,,
McConnell 2014,Standalone,Analysis,Results,Raw Data,Not classified,Availability of raw data for hybridisation,R,Modified,Eligible,Multidisciplinary sciences,,,,
McConnell 2014,Standalone,Analysis,Results,Statistical methods,Not classified,Analysis methods,R,Modified,Eligible,Multidisciplinary sciences,,,,
McConnell 2014,Standalone,Not classified,Not classified,Not classified,Not classified,Reason to believe study data could be useful in a chemical risk assessment,A,Modified,Eligible,Multidisciplinary sciences,,,,
McConnell 2014,Standalone,Not classified,Not classified,Not classified,Not classified,In vivo human genetic material,R,Modified,Eligible,Multidisciplinary sciences,,,,
McConnell 2014,Standalone,Other,Prospects for replication,Not classified,Not classified,Sufficient information on conditions of cultivation to allow replication of experiment,A,Modified,Eligible,Multidisciplinary sciences,,,,
McConnell 2014,Standalone,Other,Prospects for replication,Not classified,Not classified,Sufficient information on test system maintenance to allow replication of experiment,A,Modified,Eligible,Multidisciplinary sciences,,,,
McConnell 2014,Standalone,Other,Prospects for replication,Not classified,Not classified,Sufficient information on test system to allow replication of experiment,A,Modified,Eligible,Multidisciplinary sciences,,,,
McConnell 2014,Standalone,Test System,Experimental Practice,Controlling for random error,Replicates,Identifiable technical replicates,A,Modified,Eligible,Multidisciplinary sciences,,,,
McConnell 2014,Standalone,Test System,Experimental Practice,Controlling for random error,Replicates,More than two biological replicates,R,Modified,Eligible,Multidisciplinary sciences,,,,
McConnell 2014,Standalone,Test System,Experimental Practice,Controlling for random error,Replicates,Use of technical replicates,R,Modified,Eligible,Multidisciplinary sciences,,,,
McConnell 2014,Standalone,Test System,Experimental Practice,Nonspecific error control,Not classified,Data analysis methods used have been published elsewhere,R,Modified,Eligible,Multidisciplinary sciences,,,,
McConnell 2014,Standalone,Test System,Experimental Practice,Not classified,Not classified,Dye swap for two-colour array,R,Modified,Eligible,Multidisciplinary sciences,,,,
McConnell 2014,Standalone,Test System,Experimental Practice,Not classified,Not classified,Performance of confirmatory assay,R,Modified,Eligible,Multidisciplinary sciences,,,,
McConnell 2014,Standalone,Test System,Not classified,Not classified,Not classified,Choice of study design for obtaining substance-specific data,A,Modified,Eligible,Multidisciplinary sciences,,,,
McConnell 2014,Standalone,Test System,Theory,Methodological Information,Not classified,Method of RNA extraction for microarray,R,Modified,Eligible,Multidisciplinary sciences,,,,
McConnell 2014,Standalone,Test System,Theory,PECO,Controls,Use of control groups,A,Modified,Eligible,Multidisciplinary sciences,,,,
McConnell 2014,Standalone,Test System,Theory,PECO,Exposure or intervention,Physico-chemical properties of test article,A,Modified,Eligible,Multidisciplinary sciences,,,,
McConnell 2014,Standalone,Test System,Theory,PECO,Exposure or intervention,Dose levels,R,Modified,Eligible,Multidisciplinary sciences,,,,
McConnell 2014,Standalone,Test System,Theory,PECO,Exposure or intervention,Duration of exposure,R,Modified,Eligible,Multidisciplinary sciences,,,,
McConnell 2014,Standalone,Test System,Theory,PECO,Exposure or intervention,Frequency of exposure,R,Modified,Eligible,Multidisciplinary sciences,,,,
McConnell 2014,Standalone,Test System,Theory,PECO,Outcomes,Outcome measurement methods,R,Modified,Eligible,Multidisciplinary sciences,,,,
McConnell 2014,Standalone,Test System,Theory,PECO,Outcomes,Outcomes,R,Modified,Eligible,Multidisciplinary sciences,,,,
McConnell 2014,Standalone,Test System,Theory,PECO,Population,Species and strain of source organism for each cell line or primary cell culture,R,Modified,Eligible,Multidisciplinary sciences,,,,
McConnell 2014,Standalone,Test System,Verification,Exposure,Not classified,Purity of test article,R,Modified,Eligible,Multidisciplinary sciences,,,,
McConnell 2014,Standalone,Test System,Verification,Exposure,Not classified,Source of test article,R,Modified,Eligible,Multidisciplinary sciences,,,,
McConnell 2014,Standalone,Test System,Verification,Exposure,Not classified,Test article identified by CAS number,R,Modified,Eligible,Multidisciplinary sciences,,,,
McConnell 2014,Standalone,Test System,Verification,Exposure,Not classified,Test article identified by chemical structure,R,Modified,Eligible,Multidisciplinary sciences,,,,
McConnell 2014,Standalone,Test System,Verification,Exposure,Not classified,Test article identified by name,R,Modified,Eligible,Multidisciplinary sciences,,,,
McConnell 2014,Standalone,Test System,Verification,Population,Not classified,Supplier of sample,R,Modified,Eligible,Multidisciplinary sciences,,,,
Montagner 2014,Systematic review,Test System,Experimental Practice,Controlling for random error,Sample size,Sample size calculation,R,Modified,Eligible,Dentistry,Oral surgery and medicine,,,
Montagner 2014,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Blinding,Blinding of operator of test machine,R,Modified,Eligible,Dentistry,Oral surgery and medicine,,,
Montagner 2014,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Randomisation,Randomisation of teeth,R,Modified,Eligible,Dentistry,Oral surgery and medicine,,,
Montagner 2014,Systematic review,Test System,Experimental Practice,Nonspecific error control,Investigator roles,Adhesive procedures performed by same investigator,R,Modified,Eligible,Dentistry,Oral surgery and medicine,,,
Montagner 2014,Systematic review,Test System,Experimental Practice,Not classified,Not classified,Materials used according to manufacturers instructions,R,Modified,Eligible,Dentistry,Oral surgery and medicine,,,
Montagner 2014,Systematic review,Test System,Theory,Methodological Information,Not classified,Teeth free of caries,R,Modified,Eligible,Dentistry,Oral surgery and medicine,,,
Montagner 2014,Systematic review,Test System,Theory,Methodological Information,Not classified,Teeth free of restoration,R,Modified,Eligible,Dentistry,Oral surgery and medicine,,,
Mozynska 2017,Systematic review,Analysis,Results,Statistical methods,Not classified,Coefficient of variation,U,Unclear,Eligible,Dentistry,Oral surgery and medicine,,,
Mozynska 2017,Systematic review,Test System,Experimental Practice,Controlling for random error,Sample size,Sample size calculation,U,Unclear,Eligible,Dentistry,Oral surgery and medicine,,,
Mozynska 2017,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Blinding,Blinding of evaluators,U,Unclear,Eligible,Dentistry,Oral surgery and medicine,,,
Mozynska 2017,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Randomisation,Randomisation of teeth,U,Unclear,Eligible,Dentistry,Oral surgery and medicine,,,
Mozynska 2017,Systematic review,Test System,Experimental Practice,Nonspecific error control,Investigator roles,Analysis by single investigator,U,Unclear,Eligible,Dentistry,Oral surgery and medicine,,,
Mozynska 2017,Systematic review,Test System,Experimental Practice,Not classified,Not classified,Evaluation of failure mode,U,Unclear,Eligible,Dentistry,Oral surgery and medicine,,,
Mozynska 2017,Systematic review,Test System,Experimental Practice,Not classified,Not classified,Use of similarly-sized samples,U,Unclear,Eligible,Dentistry,Oral surgery and medicine,,,
Mozynska 2017,Systematic review,Test System,Theory,Methodological Information,Not classified,Teeth free of caries,U,Unclear,Eligible,Dentistry,Oral surgery and medicine,,,
Mozynska 2017,Systematic review,Test System,Theory,PECO,Controls,Use of control groups,U,Unclear,Eligible,Dentistry,Oral surgery and medicine,,,
Munchow 2018,Systematic review,Analysis,Results,Statistical methods,Not classified,Informed mean standard deviation values,U,Modified,Eligible,Engineering,Biomedical,Materials science,Biomaterials,
Munchow 2018,Systematic review,Not classified,Not classified,Not classified,Not classified,Informed about testing compliance,U,Modified,Eligible,Engineering,Biomedical,Materials science,Biomaterials,
Munchow 2018,Systematic review,Not classified,Not classified,Not classified,Not classified,Monitored stress kinetics,U,Modified,Eligible,Engineering,Biomedical,Materials science,Biomaterials,
Munchow 2018,Systematic review,Test System,Experimental Practice,Not classified,Not classified,Informed number of specimens,U,Modified,Eligible,Engineering,Biomedical,Materials science,Biomaterials,
Munchow 2018,Systematic review,Test System,Not classified,Not classified,Not classified,Informed specimen dimension,U,Modified,Eligible,Engineering,Biomedical,Materials science,Biomaterials,
Munchow 2018,Systematic review,Test System,Theory,PECO,Controls,Control group,U,Modified,Eligible,Engineering,Biomedical,Materials science,Biomaterials,
Murdock 2009,Systematic review,Test System,Experimental Practice,Controlling for random error,Replicates,Number of replicates,U,Original,N/A,Hematology,,,,
Murdock 2009,Systematic review,Test System,Experimental Practice,Nonspecific error control,Not classified,Outcomes measured using more than one type of test,U,Original,N/A,Hematology,,,,
Murdock 2009,Systematic review,Test System,Experimental Practice,Nonspecific error control,Not classified,Outcomes measured using outcome-appropriate tests,A,Original,N/A,Hematology,,,,
Murdock 2009,Systematic review,Test System,Experimental Practice,Nonspecific error control,Not classified,Replication of findings across multiple test types,A,Original,N/A,Hematology,,,,
Murdock 2009,Systematic review,Test System,Theory,Fit,External validity,Applicability of study to current clinical practice,A,Original,N/A,Hematology,,,,
Murdock 2009,Systematic review,Test System,Theory,PECO,Controls,Use of positive controls,U,Original,N/A,Hematology,,,,
Ntrouka 2010,Systematic review,Analysis,Results,Statistical methods,Not classified,Measures of variability for primary outcomes,A,Unclear,N/A,Dentistry,Oral surgery and medicine,Engineering,Biomedical,
Ntrouka 2010,Systematic review,Analysis,Results,Statistical methods,Not classified,Point estimates for primary outcomes,A,Unclear,N/A,Dentistry,Oral surgery and medicine,Engineering,Biomedical,
Ntrouka 2010,Systematic review,Analysis,Results,Statistical methods,Not classified,Statistical methods,A,Unclear,N/A,Dentistry,Oral surgery and medicine,Engineering,Biomedical,
Ntrouka 2010,Systematic review,Test System,Experimental Practice,Controlling for random error,Replicates,Reproducibility data,A,Unclear,N/A,Dentistry,Oral surgery and medicine,Engineering,Biomedical,
Ntrouka 2010,Systematic review,Test System,Experimental Practice,Controlling for random error,Sample size,Power analysis,A,Unclear,N/A,Dentistry,Oral surgery and medicine,Engineering,Biomedical,
Ntrouka 2010,Systematic review,Test System,Experimental Practice,Controlling for random error,Sample size,Sample size,A,Unclear,N/A,Dentistry,Oral surgery and medicine,Engineering,Biomedical,
Ntrouka 2010,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Blinding,Blinding of evaluators,A,Unclear,N/A,Dentistry,Oral surgery and medicine,Engineering,Biomedical,
Ntrouka 2010,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Blinding,Blinding of statistical analysis,A,Unclear,N/A,Dentistry,Oral surgery and medicine,Engineering,Biomedical,
Ntrouka 2010,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Not classified,Identical experimental conditions across study groups,A,Unclear,N/A,Dentistry,Oral surgery and medicine,Engineering,Biomedical,
Ntrouka 2010,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Randomisation,Random allocation of subjects to study groups,A,Unclear,N/A,Dentistry,Oral surgery and medicine,Engineering,Biomedical,
Ntrouka 2010,Systematic review,Test System,Experimental Practice,Nonspecific error control,Not classified,Validation of evaluation method,A,Unclear,N/A,Dentistry,Oral surgery and medicine,Engineering,Biomedical,
Ntrouka 2010,Systematic review,Test System,Experimental Practice,Nonspecific error control,Not classified,Validation of model,A,Unclear,N/A,Dentistry,Oral surgery and medicine,Engineering,Biomedical,
Ntrouka 2010,Systematic review,Test System,Theory,Fit,External validity,Representative surface material,A,Unclear,N/A,Dentistry,Oral surgery and medicine,Engineering,Biomedical,
Osmanovic 2018,Systematic review,Analysis,Results,Complete reporting,Not classified,Selective reporting,U,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Osmanovic 2018,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Attrition,Study subject attrition rates,U,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Osmanovic 2018,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Blinding,Blinded outcome assessment,U,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Osmanovic 2018,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Not classified,Identical experimental conditions across study groups,U,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Osmanovic 2018,Systematic review,Test System,Experimental Practice,Controlling for systematic error,Randomisation,Random allocation of subjects to study groups,U,Modified,Ineligible,Dentistry,Oral surgery and medicine,,,
Pavan 2015,Systematic review,Analysis,Interpretation,Limitations,Not classified,Study limitations,U,Existing,Ineligible,Multidisciplinary sciences,,,,
Pavan 2015,Systematic review,Analysis,Results,Not classified,Not classified,Dose-response relationship,U,Existing,Ineligible,Multidisciplinary sciences,,,,
Pavan 2015,Systematic review,Not classified,Not classified,Not classified,Not classified,Imprecision,U,Existing,Ineligible,Multidisciplinary sciences,,,,
Pavan 2015,Systematic review,Not classified,Not classified,Not classified,Not classified,Inconsistency,U,Existing,Ineligible,Multidisciplinary sciences,,,,
Pavan 2015,Systematic review,Not classified,Not classified,Not classified,Not classified,Indirectness,U,Existing,Ineligible,Multidisciplinary sciences,,,,
Pavan 2015,Systematic review,Not classified,Not classified,Not classified,Not classified,Moderate or large effect,U,Existing,Ineligible,Multidisciplinary sciences,,,,
Pavan 2015,Systematic review,Not classified,Not classified,Not classified,Not classified,Publication bias,U,Existing,Ineligible,Multidisciplinary sciences,,,,
Pronin 2017,Systematic review,Analysis,Results,Complete reporting,Not classified,Complete outcome reporting,A,Modified,Eligible,Biochemistry and molecular biology,,,,
Pronin 2017,Systematic review,Analysis,Results,Complete reporting,Not classified,Transparent reporting of results for all outcomes,A,Modified,Eligible,Biochemistry and molecular biology,,,,
Pronin 2017,Systematic review,Analysis,Results,Not classified,Not classified,Reliable quantitative study results,A,Modified,Eligible,Biochemistry and molecular biology,Cell biology,,,
Pronin 2017,Systematic review,Analysis,Results,Statistical methods,Not classified,Transparent statistical methods,R,Modified,Eligible,Biochemistry and molecular biology,,,,
Pronin 2017,Systematic review,Test System,Experimental Practice,Controlling for random error,Replicates,Number of replicates,R,Modified,Eligible,Biochemistry and molecular biology,,,,
Pronin 2017,Systematic review,Test System,Not classified,Not classified,Not classified,Choice of study design for obtaining substance-specific data,A,Modified,Eligible,Biochemistry and molecular biology,,,,
Pronin 2017,Systematic review,Test System,Not classified,Not classified,Not classified,Description of test system,R,Modified,Eligible,Biochemistry and molecular biology,,,,
Pronin 2017,Systematic review,Test System,Not classified,Not classified,Not classified,Test system properties,R,Modified,Eligible,Biochemistry and molecular biology,,,,
Pronin 2017,Systematic review,Test System,Theory,PECO,Not classified,Vector-mediated knockdown or knockout,U,Modified,Eligible,Biochemistry and molecular biology,,,,
Pronin 2017,Systematic review,Test System,Theory,PECO,Controls,Use of negative controls,R,Modified,Eligible,Biochemistry and molecular biology,,,,
Pronin 2017,Systematic review,Test System,Theory,PECO,Controls,Use of positive controls,R,Modified,Eligible,Biochemistry and molecular biology,,,,
Pronin 2017,Systematic review,Test System,Theory,PECO,Exposure or intervention,Method of administration,R,Modified,Eligible,Biochemistry and molecular biology,,,,
Pronin 2017,Systematic review,Test System,Theory,PECO,Exposure or intervention,UV light source,R,Modified,Eligible,Biochemistry and molecular biology,,,,
Pronin 2017,Systematic review,Test System,Theory,PECO,Outcomes,Outcome measurement methods,R,Modified,Eligible,Biochemistry and molecular biology,,,,
Pronin 2017,Systematic review,Test System,Theory,PECO,Outcomes,Outcomes,R,Modified,Eligible,Biochemistry and molecular biology,,,,
Pronin 2017,Systematic review,Test System,Theory,PECO,Outcomes,Timing of outcome measurements,R,Modified,Eligible,Biochemistry and molecular biology,,,,
Pronin 2017,Systematic review,Test System,Verification,Exposure,Not classified,Energy transfer of UV light,R,Modified,Eligible,Biochemistry and molecular biology,,,,
Pronin 2017,Systematic review,Test System,Verification,Exposure,Not classified,Incident radiant exposure to UV light,R,Modified,Eligible,Biochemistry and molecular biology,,,,
Pronin 2017,Systematic review,Test System,Verification,Exposure,Not classified,Wavelength of UV light,R,Modified,Eligible,Biochemistry and molecular biology,,,,
Pronin 2017,Systematic review,Test System,Verification,Not classified,Not classified,Source of test system,R,Modified,Eligible,Biochemistry and molecular biology,,,,
Pronin 2017,Systematic review,Test System,Verification,Population,Not classified,Conditions of cultivation,R,Modified,Eligible,Biochemistry and molecular biology,,,,
Pronin 2017,Systematic review,Test System,Verification,Population,Not classified,Conditions of maintenance,R,Modified,Eligible,Biochemistry and molecular biology,,,,
Rahman 2016,Systematic review,Objective,Hypothesis,Theoretical basis,Not classified,Explicit theoretical framework,A,Modified,Ineligible,Neurosciences,,,,
Rahman 2016,Systematic review,Objective,Not classified,Not classified,Not classified,Objectives,A,Modified,Ineligible,Neurosciences,,,,
Rahman 2016,Systematic review,Other,Prospects for replication,Not classified,Not classified,Sufficient information about data collection methods to permit replication,A,Modified,Ineligible,Neurosciences,,,,
Rahman 2016,Systematic review,Results,Interpretation,Limitations,Not classified,Study limitations,A,Modified,Ineligible,Neurosciences,,,,
Rahman 2016,Systematic review,Test System,Experimental Practice,Controlling for random error,Sample size,Sample size,A,Modified,Ineligible,Neurosciences,,,,
Rahman 2016,Systematic review,Test System,Experimental Practice,Nonspecific error control,Not classified,Statistical assessment of reliability of measurement tools,A,Modified,Ineligible,Neurosciences,,,,
Rahman 2016,Systematic review,Test System,Experimental Practice,Nonspecific error control,Not classified,Statistical assessment of validity of measurement tools,A,Modified,Ineligible,Neurosciences,,,,
Rahman 2016,Systematic review,Test System,Theory,Fit,External validity,Representativeness of sample for target group,A,Modified,Ineligible,Neurosciences,,,,
Rahman 2016,Systematic review,Test System,Theory,Fit,Not classified,Fit between objectives and data collection methods,A,Modified,Ineligible,Neurosciences,,,,
Rahman 2016,Systematic review,Test System,Theory,Fit,Not classified,Fit between research question and method of analysis,A,Modified,Ineligible,Neurosciences,,,,
Rahman 2016,Systematic review,Test System,Theory,Fit,Not classified,Fit beween objectives and format and content of qualitative data collection tool,A,Modified,Ineligible,Neurosciences,,,,
Rahman 2016,Systematic review,Test System,Theory,Methodological Information,Not classified,Application of housekeeping and target proteins,A,Modified,Ineligible,Neurosciences,,,,
Rahman 2016,Systematic review,Test System,Theory,Methodological Information,Not classified,Cell immortalisation method,A,Modified,Ineligible,Neurosciences,,,,
Rahman 2016,Systematic review,Test System,Theory,Methodological Information,Not classified,Choice of data collection tools,A,Modified,Ineligible,Neurosciences,,,,
Rahman 2016,Systematic review,Test System,Theory,Methodological Information,Not classified,Research setting,A,Modified,Ineligible,Neurosciences,,,,
Rahman 2016,Systematic review,Test System,Verification,Population,Not classified,Source of cells,A,Modified,Ineligible,Neurosciences,,,,
Ramamoorthi 2015,Systematic review,Analysis,Interpretation,Limitations,Not classified,Study limitations,R,Modified,Ineligible,Cell and tissue engineering,,,,
Ramamoorthi 2015,Systematic review,Analysis,Interpretation,Significance,Not classified,Generalisability of results,R,Modified,Ineligible,Cell and tissue engineering,,,,
Ramamoorthi 2015,Systematic review,Analysis,Interpretation,Significance,Not classified,Scientific implications of results,R,Modified,Ineligible,Cell and tissue engineering,,,,
Ramamoorthi 2015,Systematic review,Analysis,Results,Not classified,Not classified,Rationale for excluded data,R,Modified,Ineligible,Cell and tissue engineering,,,,
Ramamoorthi 2015,Systematic review,Analysis,Results,Statistical methods,Not classified,Analysis methods,R,Modified,Ineligible,Cell and tissue engineering,,,,
Ramamoorthi 2015,Systematic review,Analysis,Results,Statistical methods,Not classified,Precision estimates,R,Modified,Ineligible,Cell and tissue engineering,,,,
Ramamoorthi 2015,Systematic review,Analysis,Results,Statistical methods,Not classified,Statistical methods,R,Modified,Ineligible,Cell and tissue engineering,,,,
Ramamoorthi 2015,Systematic review,Not classified,Not classified,Not classified,Not classified,Title accurately describes content of article,A,Modified,Ineligible,Cell and tissue engineering,,,,
Ramamoorthi 2015,Systematic review,Not classified,Not classified,Not classified,Not classified,Title is concise,A,Modified,Ineligible,Cell and tissue engineering,,,,
Ramamoorthi 2015,Systematic review,Not classified,Not classified,Not classified,Not classified,Publication in peer-reviewed journal,R,Modified,Ineligible,Cell and tissue engineering,,,,
Ramamoorthi 2015,Systematic review,Objective,Hypothesis,Hypothesis,Not classified,Hypothesis,R,Modified,Ineligible,Cell and tissue engineering,,,,
Ramamoorthi 2015,Systematic review,Objective,Justification,Context,Not classified,Characterisation of background,R,Modified,Ineligible,Cell and tissue engineering,,,,
Ramamoorthi 2015,Systematic review,Objective,Justification,Importance,Not classified,Rationale for conduct of study,R,Modified,Ineligible,Cell and tissue engineering,,,,
Ramamoorthi 2015,Systematic review,Objective,Not classified,Not classified,Not classified,Primary experimental objectives,R,Modified,Ineligible,Cell and tissue engineering,,,,
Ramamoorthi 2015,Systematic review,Objective,Not classified,Not classified,Not classified,Secondary experimental objectives,R,Modified,Ineligible,Cell and tissue engineering,,,,
Ramamoorthi 2015,Systematic review,Other,Interests,Not classified,Not classified,Declaration of interests,R,Modified,Ineligible,Cell and tissue engineering,,,,
Ramamoorthi 2015,Systematic review,Other,Interests,Not classified,Not classified,Sources of funding,R,Modified,Ineligible,Cell and tissue engineering,,,,
Ramamoorthi 2015,Systematic review,Other,Prospects for replication,Not classified,Not classified,Sufficient detail for replication,R,Modified,Ineligible,Cell and tissue engineering,,,,
Ramamoorthi 2015,Systematic review,Other,Summaries,Abstract,Not classified,Abstract includes conclusions of study,R,Modified,Ineligible,Cell and tissue engineering,,,,
Ramamoorthi 2015,Systematic review,Other,Summaries,Abstract,Not classified,Abstract includes key experimental methods,R,Modified,Ineligible,Cell and tissue engineering,,,,
Ramamoorthi 2015,Systematic review,Other,Summaries,Abstract,Not classified,Abstract includes principal findings of study,R,Modified,Ineligible,Cell and tissue engineering,,,,
Ramamoorthi 2015,Systematic review,Other,Summaries,Abstract,Not classified,Abstract includes research objectives,R,Modified,Ineligible,Cell and tissue engineering,,,,
Ramamoorthi 2015,Systematic review,Other,Summaries,Abstract,Not classified,Abstract includes structured summary of background,R,Modified,Ineligible,Cell and tissue engineering,,,,
